id,strategy,entry_date,exit_date,signal_type,index_symbol,entry_corr,exit_corr,entry_ml_prob,position_size,pnl
1,ml,2025-12-19T21:07:35.749427,2025-12-26T21:18:18.318992,SHORT_DISPERSION,QQQ,0.2801508645739835,0.1895964859887342,0.8421921914423875,2000.0,27.166313575574783
2,ml,2025-12-22T22:46:07.877006,2025-12-29T21:09:54.118829,SHORT_DISPERSION,QQQ,0.2284949101831801,0.2041860509419649,0.7876062113410123,2000.0,7.292657772364543
3,ml,2025-12-23T20:47:04.013518,2025-12-29T21:09:54.128351,SHORT_DISPERSION,QQQ,0.1864264420401227,0.2041860509419649,,2000.0,-5.327882670552683
4,ml,2025-12-26T21:18:18.324725,2026-01-02T20:12:24.533596,SHORT_DISPERSION,QQQ,0.1895964859887342,0.2983918529860442,,2000.543326271512,-32.647476806359265
5,ml,2025-12-30T20:37:53.470514,2026-01-05T22:23:07.837823,SHORT_DISPERSION,QQQ,0.207747518918815,0.2646238895371478,,2000.582621773548,-17.067881797288244
6,ml,2025-12-31T23:33:59.683766,2026-01-07T19:56:33.053769,SHORT_DISPERSION,QQQ,0.3209428967158327,0.1892584830434549,,2000.582621773548,39.51683243270968
7,ml,2026-01-02T20:12:24.546976,2026-01-08T20:24:39.745472,SHORT_DISPERSION,QQQ,0.29839185298604426,0.1980932177123538,,1999.9296722374208,30.088532515315855
