date,impl_corr,ndx_iv,rolling_mean,rolling_std,z_score
2010-03-30,0.1887944395420535,16.7,0.1520035223066392,0.0485962102273568,0.7570737936824369
2010-03-31,0.2007911818099565,16.76,0.1536711498222117,0.0485237443302564,0.9710716400416692
2010-04-01,0.1936890950198082,16.72,0.1554272775410524,0.0480226788401205,0.7967447548300861
2010-04-05,0.1738634492368696,16.39,0.1569566753516734,0.047100160337302,0.3589536376122799
2010-04-06,0.1558621494955954,15.76,0.1584017557518792,0.0456690856814731,-0.0556088701665005
2010-04-07,0.1525358884123421,15.72,0.1598788193020909,0.0439625155305421,-0.167027086624456
2010-04-08,0.1338475521082983,15.37,0.1608984307055467,0.0425937624091587,-0.6350901415422225
2010-04-09,0.1147539663989762,14.56,0.161609183039633,0.0414268591302138,-1.1310347350587306
2010-04-12,0.124863197362663,15.02,0.1627121200131186,0.0394752001009647,-0.9588025533410938
2010-04-13,0.1117127873724142,14.54,0.1635303465387943,0.0378402894283969,-1.3693753390663568
2010-04-14,0.1110392190837863,14.46,0.1643955016115887,0.0359595633153961,-1.4837856082906848
2010-04-15,0.1157902469738966,14.72,0.1654335572529775,0.0335205119493295,-1.4809830576013558
2010-04-16,0.1469624407324417,15.74,0.1667542596492001,0.031077405869329,-0.636855566387263
2010-04-19,0.1397004060174755,15.49,0.1674893865948211,0.0298635415192182,-0.9305319852791876
2010-04-20,0.1273247289619633,14.53,0.1665056552385947,0.0302020039103713,-1.2972955831972723
2010-04-21,0.1176921376511388,13.94,0.1659899445271814,0.0307711441013689,-1.5695811217462632
2010-04-22,0.1165690006508789,14.22,0.1653825696048803,0.0313851931402281,-1.5553056734716844
2010-04-23,0.1421079298863919,14.05,0.1654899768957963,0.0312926546005287,-0.7472056080857199
2010-04-26,0.1995400116362659,16.33,0.1663356301938456,0.0315187736937554,1.0534794838480288
2010-04-27,0.2568355767587882,18.49,0.1673411366558381,0.0334035236309791,2.679191605401504
2010-04-28,0.2452234502202659,18.08,0.1686949906254317,0.0348790628039411,2.194108827551034
2010-04-29,0.2095545414825124,16.92,0.1696753613019721,0.0351909005420589,1.133224201889294
2010-04-30,0.2688349164331112,19.16,0.1716522770902316,0.0373452020161974,2.602279117427971
2010-05-03,0.2427794952301906,18.65,0.1727132059555629,0.0384489330161537,1.8223207714292176
2010-05-04,0.307000585306711,22.53,0.1753099084459141,0.0420626146755318,3.130824792435034
2010-05-05,0.3068091291021628,22.72,0.1771174924621303,0.0452772099788341,2.864391085507694
2010-05-06,0.3083915848687919,26.43,0.1787016038295209,0.0481384684275895,2.694102768025371
2010-05-07,0.5733099107425879,34.61,0.184782093594869,0.0700280823588768,5.548171591456818
2010-05-10,0.3449854338348821,25.29,0.1873635998971874,0.0730183444542201,2.1586607463624143
2010-05-11,0.3489982444358404,24.62,0.190372922127594,0.0758894481641242,2.0902157829002936
2010-05-12,0.3071401559671614,22.09,0.1928732196875462,0.0772347495919834,1.4794757137592307
2010-05-13,0.3593223634349769,23.58,0.1962108269837367,0.0800255460382897,2.038243342609575
2010-05-14,0.381671818866986,27.47,0.1993320352444921,0.0835290647283193,2.1829501409546395
2010-05-17,0.3616931893197241,27.2,0.2021434342591122,0.0861114870054809,1.8528277772099864
2010-05-18,0.4204223384282239,29.02,0.2065364662097029,0.090378816393694,2.3665487196338675
2010-05-19,0.4683178841960184,31.04,0.2115358757762065,0.0963312970202371,2.66561352709564
2010-05-20,0.5003838411242952,35.51,0.2174074066883366,0.1029104379266835,2.7497350136393286
2010-05-21,0.5498003959629949,35.26,0.2241545668521612,0.1110313378366825,2.932918178377985
2010-05-24,0.4723242875439165,31.36,0.2294128544367642,0.1151819311842748,2.1089369713599275
2010-05-25,0.3875703722324558,30.35,0.2332276703967832,0.1165814950006651,1.32390395092113
2010-05-26,0.5032213762799317,29.8,0.238912749002266,0.1212773870453056,2.1793727067926323
2010-05-27,0.4285039579220973,26.16,0.2432979935943142,0.1233136675761713,1.5019094636316823
2010-05-28,0.3901479179330509,25.9,0.2471744379919697,0.1242251836253719,1.1509218643801626
2010-06-01,0.4881047911359079,29.19,0.252895807957247,0.1272984860868078,1.8476966255377645
2010-06-02,0.3894720113988199,26.72,0.2566921518564098,0.1279273792021127,1.037931523107582
2010-06-03,0.3854647382042134,25.3,0.2603808402472766,0.1284035069519573,0.9741470535048348
2010-06-04,0.4739882580828423,29.98,0.26510552553658,0.1309784955347691,1.5947864700492984
2010-06-07,0.4959328603689776,31.65,0.2704227113262835,0.1337827488394113,1.6856444571443925
2010-06-08,0.4468637912300595,31.05,0.2748191066559711,0.1351906770026629,1.2726076116232443
2010-06-09,0.4828949994233804,30.35,0.2800386081201671,0.1370964540663414,1.47966183870117
2010-06-10,0.3927090983134149,27.19,0.2840049194063375,0.1368519814920736,0.7943193640449662
2010-06-11,0.3776646959258745,25.96,0.2881163872296015,0.1358787888759594,0.6590308129550635
2010-06-14,0.3860830367309628,25.52,0.2923450094848487,0.1348939309756635,0.6949017392266928
2010-06-15,0.3646741329884362,23.39,0.2943584604110931,0.1350595686129418,0.5206271077235264
2010-06-16,0.3756308243891391,23.33,0.2969013610493671,0.1351306602557115,0.5826173215670674
2010-06-17,0.3699953058625507,22.97,0.2996963816739494,0.1348747618494988,0.5212162989176947
2010-06-18,0.324327010239926,22.37,0.3016422425010024,0.1343644225342648,0.1688301658360396
2010-06-21,0.3552611952686694,23.74,0.3038661936651206,0.1341249978147752,0.3831873434549807
2010-06-22,0.345857280165787,24.11,0.3061645828212052,0.1336342415843069,0.2970249007589914
